184 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,CSE        ,DIPPPT ,4255,4255  , ST/X/F  ,N, 1,2025
185 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,CSE        ,DIPPPT ,4285,4632  , OBC/X/M ,N, 3,2025
186 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,CSE        ,DIPPPT ,1539,4661  , UR/X/M  ,N, 9,2025
187 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,ELECT ELEX ,DIPPPT ,1799,3070  , UR/X/F  ,N, 3,2025
188 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,ELECT ELEX ,DIPPPT ,3800,3800  , SC/X/F  ,N, 1,2025
189 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,ELECT ELEX ,DIPPPT ,4353,4353  , OBC/X/M ,N, 1,2025
190 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,ELECT ELEX ,DIPPPT , 120,4413  , UR/X/M  ,N, 10,2025
191 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,ELECT ELEX ,BSC    , 4730,4730 , UR/X/M  ,N, 1,2025
192 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,ELECT ELEX ,DIPPPT ,4675,4792  , SC/X/M  ,N, 3,2025
193 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,MECH       ,DIPPPT , 45 , 45   , UR/X/F  ,N, 1,2025
194 ,BHOPAL INSTITUTE OF TECHNOLOGY & MANAGEMENT BHOPAL (2009), Private ,MECH       ,DIPPPT , 179 ,4498 , UR/X/M  ,N, 25,2025
195 ,BHOPAL INSTITUTE OF TECHNOLOGY & SCIENCE BHOPAL (2002), Private ,CIVIL         ,DIPPPT ,2514,3386, UR/X/F  ,N,2,2025
